HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,P1,P2,HM,AM,THG,THGA,TAG,TAGA,TG1,TGA1,TG2,TGA2,THS,THSA,TAS,TASA,TS1,TSA1,TS2,TSA2,THST,THSTA,TAST,TASTA,TST1,TSTA1,TST2,TSTA2,THC,THCA,TAC,TACA,TC1,TCA1,TC2,TCA2,THF,THFA,TAF,TAFA,TF1,TFA1,TF2,TFA2,THY,THYA,TAY,TAYA,TY1,TYA1,TY2,TYA2,THR,THRA,TAR,TARA,TR1,TRA1,TR2,TRA2,LG1,LG2
Crystal Palace,Arsenal,0,2,A,0,1,A,10,10,2,2,16,11,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Fulham,Liverpool,2,2,D,1,0,H,9,11,3,4,7,9,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bournemouth,Aston Villa,2,0,H,1,0,H,7,15,3,2,18,16,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Leeds,Wolves,2,1,H,1,1,D,12,15,4,6,13,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Newcastle,Nott'm Forest,2,0,H,0,0,D,23,5,10,0,9,14,11,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tottenham,Southampton,4,1,H,2,1,H,18,10,8,2,11,6,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Everton,Chelsea,0,1,A,0,1,A,8,15,4,6,14,11,4,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Leicester,Brentford,2,2,D,1,0,H,14,8,5,3,6,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Man United,Brighton,1,2,A,0,2,A,17,15,5,4,7,12,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
West Ham,Man City,0,2,A,0,1,A,6,14,1,2,8,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Aston Villa,Everton,2,1,H,1,0,H,12,15,4,4,9,7,5,8,4,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,15,7,8,15,0,0,0,0,2,3,4,6,0,0,0,0,5,5,4,16,0,0,0,0,16,18,14,11,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,-3.0,-3.0
Arsenal,Leicester,4,2,H,2,0,H,19,6,7,2,15,9,6,2,1,1,0,0,1,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,10,10,14,8,0,0,0,0,2,2,5,3,0,0,0,0,5,3,5,6,0,0,0,0,11,16,6,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3.0,1.0
Brighton,Newcastle,0,0,D,0,0,D,13,4,7,1,8,6,7,3,2,3,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,15,17,23,5,0,0,0,0,4,5,10,0,0,0,0,0,2,6,11,1,0,0,0,0,12,7,9,14,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,3.0,3.0
Man City,Bournemouth,4,0,H,3,0,H,19,3,7,1,9,9,11,1,0,3,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,14,6,7,15,0,0,0,0,2,1,3,2,0,0,0,0,4,1,5,5,0,0,0,0,4,8,18,16,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,3.0,3.0
Southampton,Leeds,2,2,D,0,0,D,14,13,4,5,10,12,2,5,1,3,0,0,1,1,0,0,0,0,0,0,1,4,2,1,0,0,0,0,10,18,12,15,0,0,0,0,2,8,4,6,0,0,0,0,2,10,6,4,0,0,0,0,6,11,13,9,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,-3.0,3.0
Wolves,Fulham,0,0,D,0,0,D,7,9,1,3,7,14,5,3,3,3,0,0,1,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,15,12,9,11,0,0,0,0,6,4,3,4,0,0,0,0,4,6,4,4,0,0,0,0,9,13,7,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,-3.0,1.0
Brentford,Man United,4,0,H,4,0,H,13,15,7,4,6,15,8,2,0,4,0,0,1,1,0,0,0,0,0,0,2,2,1,2,0,0,0,0,8,14,17,15,0,0,0,0,3,5,5,4,0,0,0,0,6,5,6,2,0,0,0,0,5,6,7,12,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1.0,-3.0
Nott'm Forest,West Ham,1,0,H,1,0,H,13,19,6,5,10,11,6,7,4,1,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,23,6,14,0,0,0,0,0,10,1,2,0,0,0,0,1,11,1,4,0,0,0,0,14,9,8,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,-3.0,-3.0
Chelsea,Tottenham,2,2,D,1,0,H,16,10,3,5,9,9,8,5,3,0,0,0,1,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,15,8,18,10,0,0,0,0,6,4,8,2,0,0,0,0,16,4,10,2,0,0,0,0,11,14,11,6,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,3.0,3.0
Liverpool,Crystal Palace,1,1,D,0,1,A,24,7,4,3,7,8,4,2,2,4,1,0,1,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,11,9,10,10,0,0,0,0,4,3,2,2,0,0,0,0,4,4,3,5,0,0,0,0,9,7,16,11,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1.0,-3.0
